epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8166,0.93632,3.25944,1.23128,0.71625,0.56711,0.6485,0.46146,0.98518,1.67288,1.22496,0.000137931,0.000137931,0.000137931
2,124.445,0.99154,1.79575,1.27732,0.64614,0.62092,0.66321,0.44982,1.04231,1.29667,1.26192,0.00027618,0.00027618,0.00027618
3,176.54,1.00058,1.58983,1.2811,0.58997,0.50673,0.53473,0.34848,1.14492,1.59096,1.36688,0.000411432,0.000411432,0.000411432
4,229.458,1.01037,1.51702,1.289,0.64768,0.55538,0.6213,0.41341,1.11302,1.38373,1.30866,0.000406897,0.000406897,0.000406897
5,278.774,0.99554,1.40351,1.27684,0.66492,0.54373,0.62349,0.42235,1.11732,1.34501,1.32066,0.000399154,0.000399154,0.000399154
6,333.373,0.98073,1.32003,1.26421,0.7138,0.59068,0.66851,0.46649,1.04829,1.22528,1.2746,0.000389346,0.000389346,0.000389346
7,387.027,0.9619,1.25863,1.24968,0.69757,0.57755,0.66544,0.46039,1.04955,1.19755,1.26824,0.000377578,0.000377578,0.000377578
8,443.303,0.94691,1.21033,1.24459,0.68768,0.60231,0.67784,0.47706,1.04117,1.19414,1.27288,0.000363981,0.000363981,0.000363981
9,500.306,0.93818,1.15753,1.23231,0.71383,0.63563,0.71535,0.50886,0.99036,1.10273,1.21986,0.000348704,0.000348704,0.000348704
10,557.607,0.92687,1.12865,1.2259,0.74407,0.65326,0.74116,0.53493,0.99153,1.07311,1.22821,0.000331913,0.000331913,0.000331913
11,615.806,0.91641,1.0946,1.22037,0.77495,0.69542,0.77682,0.56123,0.97187,0.97391,1.20319,0.000313793,0.000313793,0.000313793
12,673.953,0.89894,1.05504,1.20603,0.77652,0.6924,0.77615,0.56314,0.96797,0.93815,1.1939,0.000294542,0.000294542,0.000294542
13,732.284,0.89294,1.03418,1.20181,0.78142,0.68665,0.77413,0.56411,0.95316,0.93285,1.18374,0.000274371,0.000274371,0.000274371
14,790.852,0.88317,1.00864,1.19585,0.77561,0.69854,0.78139,0.57425,0.9386,0.92581,1.1664,0.000253501,0.000253501,0.000253501
15,848.888,0.8759,0.98516,1.18851,0.76969,0.72652,0.79925,0.59375,0.92918,0.86119,1.16726,0.000232161,0.000232161,0.000232161
16,904.431,0.86827,0.96838,1.18298,0.76771,0.74146,0.80263,0.59935,0.92855,0.86366,1.16705,0.000210585,0.000210585,0.000210585
17,962.064,0.8521,0.9399,1.17469,0.80997,0.72393,0.81653,0.61066,0.91305,0.82215,1.15435,0.000189009,0.000189009,0.000189009
18,1019.64,0.85006,0.92593,1.17347,0.81198,0.73591,0.82365,0.62063,0.90311,0.81346,1.1426,0.000167669,0.000167669,0.000167669
19,1076.51,0.83584,0.89891,1.15946,0.81072,0.73649,0.82338,0.61851,0.9029,0.80308,1.14257,0.000146799,0.000146799,0.000146799
20,1133.76,0.82624,0.87705,1.1523,0.80673,0.75862,0.83436,0.62825,0.896,0.79515,1.13611,0.000126628,0.000126628,0.000126628
21,1190.95,0.81546,0.8636,1.14926,0.81496,0.76143,0.837,0.63263,0.88767,0.77903,1.13403,0.000107378,0.000107378,0.000107378
22,1248.39,0.80711,0.84188,1.14021,0.80868,0.76798,0.84075,0.63806,0.88281,0.77035,1.12534,8.92573e-05,8.92573e-05,8.92573e-05
23,1306.13,0.80186,0.83745,1.14016,0.81121,0.77576,0.84369,0.64102,0.87359,0.75993,1.11813,7.24664e-05,7.24664e-05,7.24664e-05
24,1364.41,0.79447,0.82089,1.13354,0.8137,0.77353,0.84595,0.64672,0.86986,0.74893,1.11534,5.71888e-05,5.71888e-05,5.71888e-05
25,1422.82,0.78567,0.80335,1.12657,0.81224,0.77771,0.84943,0.64944,0.87242,0.73697,1.11393,4.35918e-05,4.35918e-05,4.35918e-05
26,1485.69,0.74944,0.69719,1.09243,0.82325,0.76081,0.8419,0.6404,0.87511,0.75464,1.12201,3.18244e-05,3.18244e-05,3.18244e-05
27,1543.46,0.72321,0.63805,1.07437,0.8223,0.76537,0.84726,0.64691,0.87022,0.74279,1.11842,2.20155e-05,2.20155e-05,2.20155e-05
28,1602.88,0.71822,0.62295,1.07001,0.83074,0.76064,0.84687,0.64713,0.86628,0.73971,1.11342,1.42727e-05,1.42727e-05,1.42727e-05
29,1663.79,0.71356,0.6171,1.06583,0.83086,0.76381,0.84851,0.64937,0.86482,0.73918,1.11218,8.68066e-06,8.68066e-06,8.68066e-06
30,1721.18,0.70897,0.61213,1.06279,0.81522,0.77802,0.84926,0.65081,0.86376,0.7347,1.11077,5.30076e-06,5.30076e-06,5.30076e-06
