epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2585,0.9649,2.86796,1.27327,0.73797,0.69411,0.74734,0.52358,0.99269,1.17745,1.23371,0.000138463,0.000138463,0.000138463
2,147.433,1.02462,1.70753,1.3223,0.66483,0.6397,0.68635,0.45583,1.07756,1.33825,1.30073,0.000276711,0.000276711,0.000276711
3,218.325,1.07172,1.67837,1.3587,0.65118,0.59628,0.62383,0.39946,1.1665,1.37642,1.40358,0.000411958,0.000411958,0.000411958
4,290.199,1.08377,1.59593,1.3681,0.66756,0.60791,0.65676,0.43243,1.12788,1.29388,1.38517,0.000406897,0.000406897,0.000406897
5,362.137,1.05886,1.48346,1.35074,0.69938,0.63229,0.69474,0.47575,1.09866,1.19088,1.349,0.000399154,0.000399154,0.000399154
6,433.181,1.03182,1.3808,1.32666,0.71281,0.6504,0.71122,0.49163,1.06505,1.16388,1.30653,0.000389346,0.000389346,0.000389346
7,505.391,1.0164,1.30953,1.31615,0.70161,0.65257,0.71008,0.49076,1.05568,1.12385,1.30183,0.000377578,0.000377578,0.000377578
8,577.414,1.00005,1.26395,1.31024,0.74068,0.68976,0.75329,0.536,1.02104,1.01174,1.27727,0.000363981,0.000363981,0.000363981
9,648.688,0.98165,1.20777,1.29137,0.76743,0.68703,0.77101,0.55526,0.99098,0.98838,1.26726,0.000348704,0.000348704,0.000348704
10,720.19,0.96662,1.17603,1.28434,0.76637,0.69051,0.76835,0.55645,0.98639,0.97569,1.24731,0.000331913,0.000331913,0.000331913
11,791.85,0.95204,1.14253,1.27324,0.77679,0.70824,0.78074,0.56731,0.96842,0.92479,1.23279,0.000313793,0.000313793,0.000313793
12,862.927,0.93611,1.09861,1.26172,0.78017,0.71939,0.79562,0.58499,0.94912,0.90302,1.2194,0.000294542,0.000294542,0.000294542
13,933.635,0.92786,1.07589,1.25323,0.77915,0.72245,0.79652,0.58574,0.9419,0.87782,1.20969,0.000274371,0.000274371,0.000274371
14,1005.21,0.9102,1.03914,1.24074,0.78403,0.73039,0.80233,0.59838,0.93091,0.86698,1.198,0.000253501,0.000253501,0.000253501
15,1076.25,0.89649,1.00918,1.23225,0.80692,0.73208,0.81336,0.6101,0.92428,0.83157,1.1959,0.000232161,0.000232161,0.000232161
16,1148.1,0.88258,0.98236,1.22198,0.80792,0.74423,0.82297,0.61612,0.90853,0.81956,1.183,0.000210585,0.000210585,0.000210585
17,1219.06,0.87468,0.94725,1.21462,0.80509,0.75417,0.82351,0.61747,0.91248,0.80518,1.1816,0.000189009,0.000189009,0.000189009
18,1290.07,0.86287,0.92591,1.20402,0.81246,0.75403,0.83251,0.62933,0.90013,0.78521,1.16757,0.000167669,0.000167669,0.000167669
19,1361.12,0.84897,0.89903,1.1929,0.8216,0.75113,0.83321,0.62849,0.88885,0.77337,1.1574,0.000146799,0.000146799,0.000146799
20,1432.66,0.84039,0.88186,1.18623,0.81893,0.7653,0.83847,0.63909,0.88528,0.76223,1.16235,0.000126628,0.000126628,0.000126628
21,1503.56,0.82593,0.86025,1.18014,0.81781,0.76895,0.84383,0.64319,0.8814,0.75289,1.15748,0.000107378,0.000107378,0.000107378
22,1574.9,0.81418,0.83925,1.17006,0.82262,0.76898,0.8433,0.6459,0.87715,0.74412,1.15438,8.92573e-05,8.92573e-05,8.92573e-05
23,1645.86,0.80461,0.82078,1.16556,0.82736,0.76787,0.84507,0.64688,0.87574,0.73694,1.15074,7.24664e-05,7.24664e-05,7.24664e-05
24,1716.79,0.79794,0.80158,1.1602,0.82713,0.7777,0.84815,0.65021,0.86993,0.72901,1.14243,5.71888e-05,5.71888e-05,5.71888e-05
25,1787.46,0.78888,0.78702,1.15043,0.82631,0.77927,0.84919,0.65223,0.86692,0.7257,1.14189,4.35918e-05,4.35918e-05,4.35918e-05
26,1861.9,0.73484,0.63702,1.10467,0.81792,0.77424,0.83975,0.64168,0.87625,0.73605,1.15262,3.18244e-05,3.18244e-05,3.18244e-05
27,1933.2,0.7185,0.59489,1.0916,0.8225,0.77828,0.84254,0.64598,0.8708,0.72704,1.1485,2.20155e-05,2.20155e-05,2.20155e-05
28,2004.8,0.70866,0.58114,1.08309,0.82196,0.77885,0.84541,0.64811,0.86954,0.72253,1.14883,1.42727e-05,1.42727e-05,1.42727e-05
29,2076.02,0.7007,0.57215,1.07813,0.82923,0.77774,0.8468,0.65077,0.86985,0.71782,1.14893,8.68066e-06,8.68066e-06,8.68066e-06
30,2147.37,0.69893,0.5634,1.07837,0.83746,0.77081,0.84837,0.65161,0.86843,0.71588,1.14793,5.30076e-06,5.30076e-06,5.30076e-06
