epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2929,1.10159,1.86838,1.33959,0.68398,0.66033,0.7044,0.44037,1.17921,1.15239,1.36686,0.000138197,0.000138197,0.000138197
2,123.802,1.11239,1.35429,1.33963,0.64929,0.61056,0.65137,0.4007,1.24601,1.22761,1.42672,0.000276445,0.000276445,0.000276445
3,178.357,1.16026,1.383,1.37414,0.62639,0.58407,0.61628,0.3589,1.33928,1.32829,1.5151,0.000411695,0.000411695,0.000411695
4,232.395,1.17368,1.37737,1.38714,0.65291,0.59486,0.63897,0.3807,1.34461,1.26224,1.50561,0.000406897,0.000406897,0.000406897
5,286.625,1.15656,1.32916,1.37406,0.65209,0.59613,0.63849,0.38648,1.31508,1.24078,1.48147,0.000399154,0.000399154,0.000399154
6,340.641,1.13437,1.27366,1.3566,0.66348,0.60167,0.65742,0.39298,1.32236,1.21349,1.48856,0.000389346,0.000389346,0.000389346
7,395.121,1.11676,1.24234,1.34586,0.68379,0.60728,0.66569,0.40788,1.29074,1.21414,1.46999,0.000377578,0.000377578,0.000377578
8,449.168,1.10177,1.19615,1.33656,0.68529,0.6259,0.68176,0.41829,1.28692,1.16225,1.46478,0.000363981,0.000363981,0.000363981
9,503.265,1.08937,1.16623,1.32666,0.69961,0.62988,0.69416,0.4333,1.26922,1.13625,1.44645,0.000348704,0.000348704,0.000348704
10,557.362,1.07636,1.14245,1.31547,0.68641,0.6389,0.69362,0.43678,1.25417,1.11106,1.42366,0.000331913,0.000331913,0.000331913
11,611.127,1.06504,1.10989,1.30826,0.69147,0.65612,0.70779,0.44468,1.25719,1.088,1.429,0.000313793,0.000313793,0.000313793
12,665.507,1.04753,1.09201,1.29589,0.70624,0.64969,0.70887,0.44737,1.25212,1.07677,1.42872,0.000294542,0.000294542,0.000294542
13,719.196,1.03266,1.06403,1.28725,0.71332,0.66151,0.71909,0.45359,1.25509,1.05553,1.43883,0.000274371,0.000274371,0.000274371
14,774.965,1.02536,1.04479,1.28209,0.72053,0.65884,0.7158,0.45384,1.24406,1.05683,1.42495,0.000253501,0.000253501,0.000253501
15,828.972,1.01169,1.02033,1.27558,0.7247,0.66584,0.726,0.46452,1.22598,1.03309,1.41666,0.000232161,0.000232161,0.000232161
16,882.742,0.99988,0.99706,1.2629,0.73941,0.66472,0.73137,0.46825,1.22593,1.03508,1.41553,0.000210585,0.000210585,0.000210585
17,937.311,0.99192,0.97165,1.25736,0.73266,0.6661,0.73056,0.46536,1.22638,1.01089,1.4128,0.000189009,0.000189009,0.000189009
18,990.914,0.97718,0.96345,1.25478,0.7423,0.67426,0.73848,0.4744,1.21887,1.00189,1.41606,0.000167669,0.000167669,0.000167669
19,1044.68,0.96918,0.93722,1.24386,0.73483,0.67405,0.73932,0.47672,1.21802,0.99931,1.41018,0.000146799,0.000146799,0.000146799
20,1098.84,0.95273,0.92552,1.23697,0.74799,0.67712,0.7445,0.47748,1.21293,0.99256,1.41313,0.000126628,0.000126628,0.000126628
21,1152.89,0.94475,0.90279,1.22831,0.73583,0.68887,0.74626,0.4818,1.21293,0.98532,1.41138,0.000107378,0.000107378,0.000107378
22,1206.66,0.93713,0.89216,1.22626,0.74768,0.67934,0.74682,0.4849,1.20729,0.97443,1.41014,8.92573e-05,8.92573e-05,8.92573e-05
23,1261.07,0.92717,0.87812,1.22094,0.74833,0.6895,0.74989,0.48937,1.20198,0.96458,1.40342,7.24664e-05,7.24664e-05,7.24664e-05
24,1314.72,0.91669,0.8645,1.21219,0.74766,0.68948,0.7516,0.49048,1.20001,0.95882,1.39846,5.71888e-05,5.71888e-05,5.71888e-05
25,1368.27,0.91064,0.85402,1.20872,0.7501,0.69619,0.75279,0.49182,1.19509,0.95914,1.39703,4.35918e-05,4.35918e-05,4.35918e-05
26,1425.94,0.94238,0.77814,1.23964,0.75212,0.67558,0.74139,0.48989,1.19134,0.97661,1.38916,3.18244e-05,3.18244e-05,3.18244e-05
27,1480.02,0.91436,0.73663,1.22194,0.74931,0.68896,0.75054,0.49618,1.18832,0.96337,1.38788,2.20155e-05,2.20155e-05,2.20155e-05
28,1533.6,0.90383,0.72314,1.21867,0.7568,0.69083,0.75234,0.49937,1.18359,0.95666,1.38575,1.42727e-05,1.42727e-05,1.42727e-05
29,1587.48,0.89899,0.71883,1.21269,0.75424,0.68511,0.75108,0.49968,1.18486,0.95722,1.3875,8.68066e-06,8.68066e-06,8.68066e-06
30,1641.33,0.89476,0.71217,1.21006,0.75289,0.69118,0.75181,0.50053,1.18248,0.95558,1.38478,5.30076e-06,5.30076e-06,5.30076e-06
