epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3023,0.99659,2.74708,1.28017,0.70153,0.6333,0.6963,0.47394,1.03088,1.32701,1.24669,0.000138197,0.000138197,0.000138197
2,160.32,1.02366,1.72657,1.29432,0.66179,0.63804,0.68093,0.45137,1.09341,1.29832,1.2809,0.000276445,0.000276445,0.000276445
1,77.9834,0.99584,2.87617,1.27957,0.69628,0.62585,0.68251,0.46668,1.046,1.48786,1.2598,0.000137931,0.000137931,0.000137931
2,134.103,1.02029,1.74675,1.28754,0.67439,0.64385,0.68931,0.46625,1.05833,1.24243,1.25373,0.00027618,0.00027618,0.00027618
3,198.345,1.02936,1.65368,1.29974,0.63871,0.61163,0.63361,0.41278,1.13455,1.35545,1.32856,0.000411432,0.000411432,0.000411432
4,253.819,1.04637,1.58658,1.30534,0.68905,0.61409,0.67823,0.44368,1.14281,1.28467,1.33577,0.000406897,0.000406897,0.000406897
5,306.474,1.03216,1.49636,1.29489,0.68411,0.64194,0.68333,0.45221,1.12913,1.23454,1.32336,0.000399154,0.000399154,0.000399154
6,354.46,1.02583,1.41379,1.28555,0.7166,0.65722,0.71843,0.47817,1.11816,1.17505,1.30637,0.000389346,0.000389346,0.000389346
7,401.745,1.00983,1.36399,1.27853,0.6784,0.65038,0.68939,0.45739,1.09981,1.2156,1.2951,0.000377578,0.000377578,0.000377578
8,448.645,0.99982,1.32201,1.27135,0.73498,0.64781,0.72413,0.4929,1.08091,1.14591,1.27038,0.000363981,0.000363981,0.000363981
9,495.756,0.98752,1.28596,1.26485,0.73849,0.67467,0.7457,0.51183,1.05657,1.11796,1.2664,0.000348704,0.000348704,0.000348704
10,542.377,0.98291,1.25086,1.25635,0.74064,0.69383,0.75493,0.51908,1.04755,1.07306,1.24193,0.000331913,0.000331913,0.000331913
11,589.214,0.96914,1.21422,1.24821,0.73705,0.68171,0.75106,0.51716,1.03978,1.05999,1.24483,0.000313793,0.000313793,0.000313793
12,635.74,0.95567,1.18922,1.2395,0.75178,0.67913,0.74918,0.51538,1.06731,1.07255,1.27038,0.000294542,0.000294542,0.000294542
13,682.076,0.9558,1.16786,1.23703,0.74827,0.69991,0.76349,0.53344,1.02584,1.0169,1.23349,0.000274371,0.000274371,0.000274371
14,728.919,0.94742,1.13987,1.22888,0.75123,0.69794,0.7698,0.54102,1.01837,1.00366,1.22003,0.000253501,0.000253501,0.000253501
15,775.372,0.93512,1.12307,1.22473,0.77108,0.71141,0.78512,0.55618,1.00753,0.97391,1.21406,0.000232161,0.000232161,0.000232161
16,822.06,0.92634,1.10107,1.21738,0.78249,0.70189,0.78445,0.55369,1.0101,0.9764,1.22205,0.000210585,0.000210585,0.000210585
17,869.155,0.92097,1.07318,1.21293,0.78189,0.72305,0.78981,0.56042,1.00857,0.9509,1.21302,0.000189009,0.000189009,0.000189009
18,915.765,0.91603,1.06659,1.21054,0.77725,0.71224,0.78416,0.56116,0.99081,0.94505,1.20621,0.000167669,0.000167669,0.000167669
19,962.331,0.90193,1.04451,1.20418,0.7894,0.73068,0.80039,0.57206,0.98969,0.92526,1.19805,0.000146799,0.000146799,0.000146799
20,1009.03,0.89871,1.02463,1.19916,0.78892,0.73167,0.80058,0.57665,0.98633,0.91975,1.1946,0.000126628,0.000126628,0.000126628
21,1055.87,0.88901,1.00434,1.1894,0.78955,0.74458,0.8092,0.58421,0.97296,0.89484,1.18581,0.000107378,0.000107378,0.000107378
22,1102.93,0.88372,0.99587,1.18826,0.79735,0.73089,0.80825,0.5834,0.97399,0.89146,1.18428,8.92573e-05,8.92573e-05,8.92573e-05
23,1149.33,0.88374,0.99277,1.18829,0.80606,0.74084,0.81695,0.59309,0.96866,0.87705,1.18019,7.24664e-05,7.24664e-05,7.24664e-05
24,1195.8,0.87157,0.97519,1.17924,0.81111,0.73474,0.81768,0.5933,0.96495,0.87285,1.17665,5.71888e-05,5.71888e-05,5.71888e-05
25,1242.49,0.86919,0.96273,1.17683,0.80847,0.74806,0.82135,0.59739,0.95972,0.86352,1.17351,4.35918e-05,4.35918e-05,4.35918e-05
26,1293.83,0.86253,0.87476,1.16718,0.79235,0.73754,0.80635,0.58177,0.96862,0.88865,1.1805,3.18244e-05,3.18244e-05,3.18244e-05
27,1340.11,0.83843,0.81481,1.15151,0.78905,0.74869,0.81263,0.58884,0.96197,0.87216,1.17697,2.20155e-05,2.20155e-05,2.20155e-05
28,1386.04,0.83879,0.80786,1.15446,0.792,0.74986,0.81455,0.5895,0.95708,0.86989,1.17321,1.42727e-05,1.42727e-05,1.42727e-05
29,1432.61,0.82839,0.79594,1.14363,0.78598,0.7544,0.81517,0.59259,0.9573,0.86603,1.1727,8.68066e-06,8.68066e-06,8.68066e-06
30,1478.81,0.82752,0.79318,1.14323,0.79135,0.75229,0.81523,0.5933,0.95396,0.86577,1.16981,5.30076e-06,5.30076e-06,5.30076e-06
