epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0882,0.9408,2.71594,1.24497,0.72589,0.6787,0.74036,0.52475,0.95263,1.19616,1.20318,0.000138197,0.000138197,0.000138197
2,113.232,0.96988,1.63217,1.26126,0.68736,0.62292,0.68042,0.46376,1.0401,1.26743,1.26166,0.000276445,0.000276445,0.000276445
3,162.193,1.00794,1.58494,1.28683,0.6078,0.56056,0.58349,0.38082,1.12868,1.47029,1.34691,0.000411695,0.000411695,0.000411695
4,210.716,1.02406,1.52097,1.30128,0.69475,0.60318,0.67352,0.45075,1.1046,1.23798,1.31688,0.000406897,0.000406897,0.000406897
5,258.842,1.00505,1.42887,1.28744,0.66097,0.62349,0.67413,0.45026,1.0948,1.24443,1.30562,0.000399154,0.000399154,0.000399154
6,307.294,0.98925,1.34761,1.27533,0.70225,0.62624,0.69419,0.4756,1.07287,1.19207,1.28851,0.000389346,0.000389346,0.000389346
7,355.601,0.97797,1.29599,1.266,0.73359,0.65797,0.72807,0.50708,1.03428,1.10006,1.25392,0.000377578,0.000377578,0.000377578
8,404.3,0.9635,1.23905,1.25637,0.71583,0.64594,0.71087,0.49072,1.03762,1.12464,1.26576,0.000363981,0.000363981,0.000363981
9,452.627,0.95769,1.19852,1.25039,0.73735,0.65455,0.72944,0.50314,1.04552,1.07257,1.26466,0.000348704,0.000348704,0.000348704
10,500.48,0.94714,1.16973,1.24035,0.74673,0.67621,0.74387,0.52891,1.01729,1.05019,1.2425,0.000331913,0.000331913,0.000331913
11,548.945,0.93568,1.13422,1.23746,0.76547,0.69021,0.76597,0.54641,0.99658,0.98673,1.2254,0.000313793,0.000313793,0.000313793
12,596.803,0.92277,1.10681,1.22733,0.74896,0.6865,0.75993,0.54331,0.99399,0.99674,1.22953,0.000294542,0.000294542,0.000294542
13,644.947,0.91031,1.07539,1.21553,0.76101,0.70663,0.78057,0.56341,0.97261,0.9462,1.20244,0.000274371,0.000274371,0.000274371
14,692.768,0.90285,1.05502,1.21026,0.77106,0.71721,0.78671,0.56704,0.984,0.93467,1.20977,0.000253501,0.000253501,0.000253501
15,740.386,0.89229,1.02985,1.20775,0.7824,0.71601,0.79123,0.5731,0.97281,0.90496,1.20473,0.000232161,0.000232161,0.000232161
16,788.61,0.88412,1.00873,1.19697,0.77885,0.71901,0.79544,0.58281,0.96963,0.91332,1.20038,0.000210585,0.000210585,0.000210585
17,836.515,0.87477,0.98197,1.19181,0.78407,0.73296,0.80576,0.58856,0.94219,0.87281,1.1801,0.000189009,0.000189009,0.000189009
18,884.881,0.86389,0.97156,1.18788,0.79514,0.7407,0.81553,0.60213,0.93075,0.85167,1.16948,0.000167669,0.000167669,0.000167669
19,933.097,0.85789,0.94505,1.17889,0.79544,0.72905,0.80822,0.59674,0.9322,0.8477,1.17088,0.000146799,0.000146799,0.000146799
20,980.482,0.84445,0.92796,1.1742,0.79268,0.74763,0.8203,0.61007,0.92293,0.82973,1.16351,0.000126628,0.000126628,0.000126628
21,1028.01,0.83842,0.90596,1.1648,0.80303,0.74809,0.82703,0.61489,0.92319,0.82332,1.1671,0.000107378,0.000107378,0.000107378
22,1075.45,0.83146,0.89209,1.16288,0.80231,0.75164,0.83075,0.61992,0.91151,0.80166,1.15398,8.92573e-05,8.92573e-05,8.92573e-05
23,1123.83,0.82403,0.87741,1.15928,0.80615,0.75144,0.83138,0.62441,0.90907,0.79774,1.15129,7.24664e-05,7.24664e-05,7.24664e-05
24,1171.55,0.8141,0.86594,1.15092,0.80561,0.75781,0.83418,0.62651,0.90964,0.78808,1.15139,5.71888e-05,5.71888e-05,5.71888e-05
25,1218.84,0.81007,0.85412,1.14824,0.81793,0.75798,0.83627,0.62865,0.90231,0.7887,1.14698,4.35918e-05,4.35918e-05,4.35918e-05
26,1271.61,0.78651,0.7463,1.12347,0.79706,0.75935,0.82843,0.61973,0.90486,0.79378,1.15233,3.18244e-05,3.18244e-05,3.18244e-05
27,1319.23,0.7627,0.69024,1.10625,0.81322,0.75334,0.83362,0.62547,0.90288,0.78093,1.14976,2.20155e-05,2.20155e-05,2.20155e-05
28,1366.76,0.75555,0.68034,1.1024,0.8192,0.75357,0.83499,0.62654,0.90112,0.77622,1.14872,1.42727e-05,1.42727e-05,1.42727e-05
29,1414.75,0.75051,0.67063,1.09841,0.81108,0.76197,0.83613,0.62729,0.90093,0.77456,1.14896,8.68066e-06,8.68066e-06,8.68066e-06
30,1462.32,0.74491,0.66157,1.09503,0.8149,0.75832,0.83619,0.62799,0.89952,0.77466,1.14759,5.30076e-06,5.30076e-06,5.30076e-06
